Leaf_ID,Pop_ID,Region,Lobes,Length,BLBW,MLBW,ALBW,LVL,UVL,UMLS,LMLS,LLA,ULA,MLA,LWR_1,LWR_2,LWR_3,LODR_1,LODR_2
QH-W-1-1a,W1,West,10,42,15,18,11,14,12,10,14,124,135,126,35.71428571,42.85714286,26.19047619,44.44444444,28.57142857
QH-W-1-1b,W1,West,9,40,14,20,8,7,20,14,13,140,116,156,35,50,20,30,53.84615385
QH-W-1-2a,W1,West,9,29,13,14,6,9,9,11,13,135,142,125,44.82758621,48.27586207,20.68965517,21.42857143,7.692307692
QH-W-1-2b,W1,West,9,26,12,14,6,5,10,11,11,132,124,151,46.15384615,53.84615385,23.07692308,21.42857143,27.27272727
QH-W-1-3a,W1,West,9,34,16,19,9,6,16,14,13,145,142,174,47.05882353,55.88235294,26.47058824,26.31578947,46.15384615
QH-W-1-3b,W1,West,8,25,14,16,8,5,12,14,14,130,136,150,56,64,32,12.5,14.28571429
QH-W-1-4a,W1,West,7,37,14,17,12,9,7,10,9,123,127,144,37.83783784,45.94594595,32.43243243,41.17647059,88.88888889
QH-W-1-4b,W1,West,7,32,14,14,7,7,8,11,14,120,125,131,43.75,43.75,21.875,21.42857143,0
QH-W-1-5a,W1,West,11,28,12,14,6,8,10,10,11,137,150,155,42.85714286,50,21.42857143,28.57142857,27.27272727
QH-W-1-5b,W1,West,9,33,13,16,10,5,14,12,12,131,130,149,39.39393939,48.48484848,30.3030303,25,33.33333333
QH-W-1-6a,W1,West,7,40,21,20,11,7,12,12,16,121,124,129,52.5,50,27.5,40,25
QH-W-1-6b,W1,West,9,41,20,22,13,4,16,18,18,135,130,147,48.7804878,53.65853659,31.70731707,18.18181818,22.22222222
QH-W-1-7a,W1,West,7,44,26,24,15,7,12,13,17,124,125,129,59.09090909,54.54545455,34.09090909,45.83333333,41.17647059
QH-W-1-7b,W1,West,7,43,25,26,17,6,8,16,18,135,134,159,58.13953488,60.46511628,39.53488372,38.46153846,44.44444444
QH-W-1-8a,W1,West,9,35,14,19,11,11,7,12,12,136,134,145,40,54.28571429,31.42857143,36.84210526,58.33333333
QH-W-1-8b,W1,West,7,36,20,22,15,5,8,14,15,130,124,134,55.55555556,61.11111111,41.66666667,36.36363636,46.66666667
QH-W-1-9a,W1,West,9,41,14,22,15,14,9,12,14,136,135,147,34.14634146,53.65853659,36.58536585,45.45454545,57.14285714
QH-W-1-9b,W1,West,9,34,18,24,14,7,8,15,16,130,121,139,52.94117647,70.58823529,41.17647059,37.5,50
QH-W-1-10a,W1,West,7,29,12,13,8,10,9,9,11,114,156,152,41.37931034,44.82758621,27.5862069,30.76923077,18.18181818
QH-W-1-10b,W1,West,8,27,11,12,11,6,11,9,10,124,118,153,40.74074074,44.44444444,40.74074074,25,20
QH-W-1-11a,W1,West,13,48,12,21,8,9,17,12,13,115,147,140,25,43.75,16.66666667,42.85714286,61.53846154
QH-W-1-11b,W1,West,10,47,17,22,10,12,19,15,15,133,123,130,36.17021277,46.80851064,21.27659574,31.81818182,46.66666667
QH-W-1-12a,W1,West,9,37,15,16,10,14,11,9,12,124,149,125,40.54054054,43.24324324,27.02702703,43.75,33.33333333
QH-W-1-12b,W1,West,9,41,15,20,13,13,10,11,14,117,114,126,36.58536585,48.7804878,31.70731707,45,42.85714286
QH-W-1-13a,W1,West,9,42,16,20,12,6,18,14,11,128,134,150,38.0952381,47.61904762,28.57142857,30,81.81818182
QH-W-1-13b,W1,West,10,42,15,21,11,8,18,14,13,129,119,127,35.71428571,50,26.19047619,33.33333333,61.53846154
QH-W-1-14a,W1,West,11,38,13,18,8,14,15,12,11,112,137,131,34.21052632,47.36842105,21.05263158,33.33333333,63.63636364
QH-W-1-14b,W1,West,10,40,12,20,15,15,9,11,12,127,127,130,30,50,37.5,45,66.66666667
QH-W-1-15a,W1,West,9,29,10,14,9,10,9,8,9,137,121,129,34.48275862,48.27586207,31.03448276,42.85714286,55.55555556
QH-W-1-15b,W1,West,15,36,14,19,12,10,9,9,8,142,135,149,38.88888889,52.77777778,33.33333333,52.63157895,137.5
QH-W-1-16a,W1,West,8,27,12,16,14,3,10,11,11,125,132,142,44.44444444,59.25925926,51.85185185,31.25,45.45454545
QH-W-1-16b,W1,West,10,33,18,19,13,9,7,14,16,138,135,156,54.54545455,57.57575758,39.39393939,26.31578947,18.75
QH-W-1-17a,W1,West,7,25,11,21,20,3,6,6,12,148,131,156,44,84,80,71.42857143,75
QH-W-1-17b,W1,West,11,20,17,17,8,11,11,14,13,128,129,148,85,85,40,17.64705882,30.76923077
QH-W-1-18a,W1,West,10,48,33,34,15,8,20,28,28,141,126,147,68.75,70.83333333,31.25,17.64705882,21.42857143
QH-W-1-19a,W1,West,8,35,19,20,9,9,17,13,17,135,134,147,54.28571429,57.14285714,25.71428571,35,17.64705882
QH-W-1-19b,W1,West,9,42,18,26,10,7,23,20,18,142,128,159,42.85714286,61.9047619,23.80952381,23.07692308,44.44444444
QH-W-1-20a,W1,West,12,32,15,17,9,6,15,13,14,126,147,150,46.875,53.125,28.125,23.52941176,21.42857143
QH-W-1-20b,W1,West,9,40,20,21,11,10,11,15,20,148,125,135,50,52.5,27.5,28.57142857,5
QH-W-1-21b,W1,West,7,38,25,20,10,8,11,15,22,129,132,148,65.78947368,52.63157895,26.31578947,25,-9.090909091
QH-W-1-22a,W1,West,7,31,22,22,15,6,7,18,14,147,120,145,70.96774194,70.96774194,48.38709677,18.18181818,57.14285714
QH-W-1-22b,W1,West,7,33,23,24,15,5,9,19,20,140,122,134,69.6969697,72.72727273,45.45454545,20.83333333,20
QH-W-1-23a,W1,West,9,35,19,19,12,7,8,15,17,137,147,145,54.28571429,54.28571429,34.28571429,21.05263158,11.76470588
QH-W-1-23b,W1,West,7,34,22,21,14,7,8,18,20,127,144,149,64.70588235,61.76470588,41.17647059,14.28571429,5
QH-W-1-24a,W1,West,9,36,21,23,10,7,15,18,18,136,128,154,58.33333333,63.88888889,27.77777778,21.73913043,27.77777778
QH-W-1-24b,W1,West,8,32,19,18,12,5,8,12,16,118,140,109,59.375,56.25,37.5,33.33333333,12.5
QH-W-1-25b,W1,West,7,19,19,19,9,5,13,14,18,137,138,160,100,100,47.36842105,26.31578947,5.555555556
QH-W-1-26a,W1,West,9,32,18,22,8,7,15,15,14,137,136,158,56.25,68.75,25,31.81818182,57.14285714
QH-W-1-26b,W1,West,9,41,26,23,14,8,11,21,22,147,147,166,63.41463415,56.09756098,34.14634146,8.695652174,4.545454545
QH-W-1-27a,W1,West,9,36,18,18,9,10,12,10,13,130,113,121,50,50,25,44.44444444,38.46153846
QH-W-1-27b,W1,West,9,38,17,18,10,9,10,11,13,125,110,123,44.73684211,47.36842105,26.31578947,38.88888889,38.46153846
QH-W-1-28a,W1,West,10,35,12,19,9,10,12,10,13,129,116,138,34.28571429,54.28571429,25.71428571,47.36842105,46.15384615
QH-W-1-28b,W1,West,12,40,12,22,7,15,13,12,15,134,156,138,30,55,17.5,45.45454545,46.66666667
QH-W-1-29a,W1,West,9,42,23,25,14,8,10,14,18,121,128,141,54.76190476,59.52380952,33.33333333,44,38.88888889
QH-W-1-29b,W1,West,9,40,18,25,13,14,8,16,21,148,127,133,45,62.5,32.5,36,19.04761905
QH-W-1-30a,W1,West,11,39,23,27,6,6,19,19,18,127,118,130,58.97435897,69.23076923,15.38461538,29.62962963,50
QH-W-1-30b,W1,West,9,45,20,32,14,6,22,23,18,140,121,142,44.44444444,71.11111111,31.11111111,28.125,77.77777778
QH-W-2-1a,W2,West,14,55,20,33,9,17,25,17,16,169,149,164,36.36363636,60,16.36363636,48.48484848,106.25
QH-W-2-1b,W2,West,10,52,15,32,6,18,24,19,14,152,135,156,28.84615385,61.53846154,11.53846154,40.625,128.5714286
QH-W-2-2a,W2,West,11,52,22,34,14,10,22,19,17,158,127,156,42.30769231,65.38461538,26.92307692,44.11764706,100
QH-W-2-2b,W2,West,12,49,15,30,11,14,23,19,13,151,146,173,30.6122449,61.2244898,22.44897959,36.66666667,130.7692308
QH-W-2-3a,W2,West,12,47,21,26,9,13,24,18,17,162,144,158,44.68085106,55.31914894,19.14893617,30.76923077,52.94117647
QH-W-2-3b,W2,West,11,45,19,29,7,19,22,16,17,160,129,166,42.22222222,64.44444444,15.55555556,44.82758621,70.58823529
QH-W-2-4a,W2,West,12,40,18,22,7,14,16,13,14,151,118,145,45,55,17.5,40.90909091,57.14285714
QH-W-2-4b,W2,West,11,45,23,22,12,15,12,10,18,170,119,131,51.11111111,48.88888889,26.66666667,54.54545455,22.22222222
QH-W-2-5a,W2,West,9,38,17,20,10,7,18,19,15,148,137,154,44.73684211,52.63157895,26.31578947,5,33.33333333
QH-W-2-5b,W2,West,10,37,19,21,7,6,26,15,13,145,119,161,51.35135135,56.75675676,18.91891892,28.57142857,61.53846154
QH-W-2-6a,W2,West,9,37,19,23,10,6,14,14,15,149,117,155,51.35135135,62.16216216,27.02702703,39.13043478,53.33333333
QH-W-2-6b,W2,West,9,36,16,20,11,12,9,13,15,143,126,142,44.44444444,55.55555556,30.55555556,35,33.33333333
QH-W-2-7a,W2,West,10,49,26,34,16,10,22,18,21,131,132,139,53.06122449,69.3877551,32.65306122,47.05882353,61.9047619
QH-W-2-7b,W2,West,10,50,20,31,16,6,20,20,16,132,128,154,40,62,32,35.48387097,93.75
QH-W-2-8a,W2,West,12,44,16,27,14,9,20,16,17,145,132,138,36.36363636,61.36363636,31.81818182,40.74074074,58.82352941
QH-W-2-8b,W2,West,12,48,17,27,18,13,17,15,16,155,128,146,35.41666667,56.25,37.5,44.44444444,68.75
QH-W-2-9a,W2,West,10,58,22,32,21,17,14,20,20,135,133,138,37.93103448,55.17241379,36.20689655,37.5,60
QH-W-2-9b,W2,West,9,54,18,31,16,9,23,19,22,158,127,140,33.33333333,57.40740741,29.62962963,38.70967742,40.90909091
QH-W-2-10a,W2,West,9,52,23,33,13,16,22,21,19,142,131,134,44.23076923,63.46153846,25,36.36363636,73.68421053
QH-W-2-10b,W2,West,8,49,28,27,14,10,14,17,19,126,125,131,57.14285714,55.10204082,28.57142857,37.03703704,42.10526316
QH-W-2-11a,W2,West,9,54,23,30,7,10,30,11,13,142,140,135,42.59259259,55.55555556,12.96296296,63.33333333,130.7692308
QH-W-2-11b,W2,West,9,44,18,21,13,6,20,9,11,139,140,143,40.90909091,47.72727273,29.54545455,57.14285714,90.90909091
QH-W-3-1a,W3,West,9,44,21,26,8,4,23,18,19,133,128,156,47.72727273,59.09090909,18.18181818,30.76923077,36.84210526
QH-W-3-1b,W3,West,9,37,15,22,20,11,9,16,16,151,125,142,40.54054054,59.45945946,54.05405405,27.27272727,37.5
QH-W-3-2a,W3,West,10,52,21,25,13,7,22,12,12,123,122,148,40.38461538,48.07692308,25,52,108.3333333
QH-W-3-2b,W3,West,9,53,17,30,21,16,14,15,16,142,138,147,32.0754717,56.60377358,39.62264151,50,87.5
QH-W-3-3a,W3,West,7,47,22,23,19,8,12,10,11,119,126,142,46.80851064,48.93617021,40.42553191,56.52173913,109.0909091
QH-W-3-3b,W3,West,10,46,20,25,11,7,23,12,13,121,146,153,43.47826087,54.34782609,23.91304348,52,92.30769231
QH-W-3-4a,W3,West,9,49,20,26,13,6,24,13,15,128,124,146,40.81632653,53.06122449,26.53061224,50,73.33333333
QH-W-3-4b,W3,West,9,46,15,23,16,16,11,11,12,134,134,141,32.60869565,50,34.7826087,52.17391304,91.66666667
QH-W-3-5a,W3,West,9,48,25,31,13,15,19,21,26,139,122,136,52.08333333,64.58333333,27.08333333,32.25806452,19.23076923
QH-W-3-5b,W3,West,9,40,21,25,9,7,18,17,17,133,121,147,52.5,62.5,22.5,32,47.05882353
QH-W-3-6a,W3,West,8,49,23,31,14,11,19,23,24,142,138,144,46.93877551,63.26530612,28.57142857,25.80645161,29.16666667
QH-W-3-6b,W3,West,11,60,21,34,9,17,24,23,25,146,124,137,35,56.66666667,15,32.35294118,36
QH-W-3-7a,W3,West,11,49,14,27,14,15,18,16,19,130,127,137,28.57142857,55.10204082,28.57142857,40.74074074,42.10526316
QH-W-3-7b,W3,West,11,47,12,25,11,13,21,18,15,149,143,156,25.53191489,53.19148936,23.40425532,28,66.66666667
QH-W-3-8a,W3,West,11,48,19,27,8,8,24,20,16,130,131,150,39.58333333,56.25,16.66666667,25.92592593,68.75
QH-W-3-8b,W3,West,11,46,17,23,8,7,24,18,13,139,124,156,36.95652174,50,17.39130435,21.73913043,76.92307692
QH-W-3-9a,W3,West,9,35,18,21,9,12,9,14,9,134,124,142,51.42857143,60,25.71428571,33.33333333,133.3333333
QH-W-3-9b,W3,West,9,34,17,19,7,6,14,12,13,122,138,134,50,55.88235294,20.58823529,36.84210526,46.15384615
QH-W-3-10a,W3,West,13,45,18,21,4,8,22,17,17,121,116,153,40,46.66666667,8.888888889,19.04761905,23.52941176
QH-W-3-10b,W3,West,10,41,16,21,8,12,17,16,14,119,118,168,39.02439024,51.2195122,19.51219512,23.80952381,50
QH-W-3-11a,W3,West,9,42,15,18,9,8,19,12,10,122,143,139,35.71428571,42.85714286,21.42857143,33.33333333,80
QH-W-3-11b,W3,West,9,47,16,23,16,16,12,15,14,146,136,127,34.04255319,48.93617021,34.04255319,34.7826087,64.28571429
QH-W-3-12a,W3,West,11,42,19,24,6,14,16,15,15,126,134,145,45.23809524,57.14285714,14.28571429,37.5,60
QH-W-3-12b,W3,West,9,53,24,32,8,9,27,21,18,119,118,142,45.28301887,60.37735849,15.09433962,34.375,77.77777778
QH-W-3-13a,W3,West,7,34,19,21,12,7,10,13,14,128,132,143,55.88235294,61.76470588,35.29411765,38.0952381,50
QH-W-3-13b,W3,West,7,33,19,21,11,8,9,13,14,128,127,141,57.57575758,63.63636364,33.33333333,38.0952381,50
QH-W-3-14a,W3,West,9,42,23,24,12,7,18,12,19,126,134,134,54.76190476,57.14285714,28.57142857,50,26.31578947
QH-W-3-14b,W3,West,11,42,18,29,6,14,18,19,19,142,119,149,42.85714286,69.04761905,14.28571429,34.48275862,52.63157895
QH-W-3-16a,W3,West,9,54,22,37,15,19,16,24,27,167,132,162,40.74074074,68.51851852,27.77777778,35.13513514,37.03703704
QH-W-3-16b,W3,West,9,50,13,31,20,13,19,20,13,149,124,182,26,62,40,35.48387097,138.4615385
QH-W-3-18a,W3,West,8,48,11,28,23,8,13,23,18,143,121,150,22.91666667,58.33333333,47.91666667,17.85714286,55.55555556
QH-W-3-18b,W3,West,7,43,11,28,17,9,13,16,15,131,142,151,25.58139535,65.11627907,39.53488372,42.85714286,86.66666667
QH-W-3-19a,W3,West,8,66,24,38,18,24,14,21,22,126,131,147,36.36363636,57.57575758,27.27272727,44.73684211,72.72727273
QH-W-3-19b,W3,West,9,63,27,37,16,11,26,25,19,129,128,156,42.85714286,58.73015873,25.3968254,32.43243243,94.73684211
QH-W-3-20a,W3,West,9,45,23,28,14,4,28,19,19,148,156,167,51.11111111,62.22222222,31.11111111,32.14285714,47.36842105
QH-W-3-20b,W3,West,9,39,13,24,12,12,11,15,14,141,122,139,33.33333333,61.53846154,30.76923077,37.5,71.42857143
QH-W-3-21a,W3,West,8,45,23,33,18,11,12,20,18,136,122,142,51.11111111,73.33333333,40,39.39393939,83.33333333
QH-W-3-21b,W3,West,11,35,14,22,15,9,13,17,14,144,133,163,40,62.85714286,42.85714286,22.72727273,57.14285714
QH-W-3-22a,W3,West,9,57,22,37,21,19,13,20,17,139,126,150,38.59649123,64.9122807,36.84210526,45.94594595,117.6470588
QH-W-3-22b,W3,West,9,52,22,34,4,7,27,16,16,153,103,141,42.30769231,65.38461538,7.692307692,52.94117647,112.5
QH-W-3-23a,W3,West,11,46,23,26,12,14,12,17,12,134,130,146,50,56.52173913,26.08695652,34.61538462,116.6666667
QH-W-3-23b,W3,West,9,42,22,24,12,7,16,13,14,131,148,136,52.38095238,57.14285714,28.57142857,45.83333333,71.42857143
QH-W-3-24a,W3,West,11,40,22,24,5,8,20,15,14,159,146,144,55,60,12.5,37.5,71.42857143
QH-W-3-24b,W3,West,11,43,15,22,8,17,14,14,13,127,133,162,34.88372093,51.1627907,18.60465116,36.36363636,69.23076923
QH-W-3-25a,W3,West,9,42,20,26,12,4,20,17,12,145,127,163,47.61904762,61.9047619,28.57142857,34.61538462,116.6666667
QH-W-3-25b,W3,West,10,41,19,22,9,6,16,15,13,120,122,157,46.34146341,53.65853659,21.95121951,31.81818182,69.23076923
QH-W-3-26a,W3,West,9,37,16,21,13,11,9,13,14,134,130,139,43.24324324,56.75675676,35.13513514,38.0952381,50
QH-W-3-26b,W3,West,8,39,15,24,19,11,12,15,12,129,137,140,38.46153846,61.53846154,48.71794872,37.5,100
QH-W-3-27a,W3,West,9,59,26,51,18,11,27,27,15,123,141,168,44.06779661,86.44067797,30.50847458,47.05882353,240
QH-W-3-27b,W3,West,11,54,23,36,13,14,23,17,18,140,122,146,42.59259259,66.66666667,24.07407407,52.77777778,100
QH-W-3-28a,W3,West,9,40,14,18,11,5,18,12,10,142,116,145,35,45,27.5,33.33333333,80
QH-W-3-28b,W3,West,11,39,14,20,7,10,18,13,15,146,130,141,35.8974359,51.28205128,17.94871795,35,33.33333333
QH-W-3-29a,W3,West,7,42,20,27,7,9,21,17,15,135,140,154,47.61904762,64.28571429,16.66666667,37.03703704,80
QH-W-3-29b,W3,West,11,54,24,35,10,14,24,22,16,128,117,142,44.44444444,64.81481481,18.51851852,37.14285714,118.75
QH-W-3-30a,W3,West,9,48,24,28,14,8,19,20,19,120,143,157,50,58.33333333,29.16666667,28.57142857,47.36842105
QH-W-3-30b,W3,West,10,47,21,27,8,7,23,20,16,123,129,152,44.68085106,57.44680851,17.0212766,25.92592593,68.75
QH-W-3-31a,W3,West,12,45,22,31,9,13,22,17,17,145,112,137,48.88888889,68.88888889,20,45.16129032,82.35294118
QH-W-3-31b,W3,West,11,44,14,28,11,16,15,15,16,133,130,149,31.81818182,63.63636364,25,46.42857143,75
QH-W-3-32a,W3,West,10,46,18,24,12,9,20,17,16,135,140,157,39.13043478,52.17391304,26.08695652,29.16666667,50
QH-W-3-32b,W3,West,11,48,16,24,9,14,20,18,18,143,142,166,33.33333333,50,18.75,25,33.33333333
QH-W-3-33a,W3,West,8,38,24,27,10,6,14,18,20,139,118,144,63.15789474,71.05263158,26.31578947,33.33333333,35
QH-W-3-33b,W3,West,11,40,17,27,16,15,9,17,22,138,133,168,42.5,67.5,40,37.03703704,22.72727273
